Country,Year,Total GHG Emissions Excluding Land-Use Change and Forestry (MtCO2e),Total GHG Emissions Including Land-Use Change and Forestry (MtCO2e),Total CO? Excluding Land-Use Change and Forestry (MtCO2),Total CH4 (MtCO2e),Total N2O (MtCO2e),Total F-Gas (MtCO2e),Energy (MtCO2e),Industrial Processes (MtCO2e),Agriculture (MtCO2e),Waste (MtCO2e),LUCF (MtCO2),Bunker Fuels (MtCO2),Electricity/Heat (MtCO2),Manufacturing/Construction (MtCO2),Transportation (MtCO2),Other Fuel Combustion (MtCO2e),Fugitive Emissions (MtCO2e)
Afghanistan,1990,14.9945,14.9945,2.9907,9.391256477,2.610380976,0.002180228,,0.057140228,7.048703926,4.038953624,0,,,,,,1.255569903
Afghanistan,1991,14.8345,14.8345,2.7412,9.495961539,2.593733037,0.00361306,,0.05857306,7.122341153,4.220035859,0,,,,,,1.022647563
Afghanistan,1992,13.608,13.608,1.4252,9.600666602,2.577085098,0.005045892,,0.063669892,7.195978381,4.401118095,0,,,,,,0.602585224
Afghanistan,1993,13.6243,13.6243,1.352,9.705371664,2.560437159,0.006478724,,0.065102724,7.269615608,4.58220033,0,,,,,,0.413992885
Afghanistan,1994,13.6588,13.6588,1.2971,9.810076726,2.54378922,0.007911556,,0.066535556,7.343252836,4.763282565,0,,,,,,0.247330546
Afghanistan,1995,13.697,13.697,1.2458,9.914781789,2.527141282,0.009344387,,0.067968387,7.416890063,4.944364801,0,,,,,,0.080668207
Afghanistan,1996,14.1398,14.1398,1.1761,10.30507823,2.641248175,0.017301205,,0.075925205,7.763926354,5.098415261,0,,,,,,0.083984789
Afghanistan,1997,14.5642,14.5642,1.0882,10.69537467,2.755355068,0.025258022,,0.083882022,8.110962645,5.252465722,0,,,,,,0.087301371
Afghanistan,1998,15.0216,15.0216,1.0332,11.08567111,2.869461962,0.033214839,,0.091838839,8.457998937,5.406516182,0,,,,,,0.090617953
Afghanistan,1999,15.3068,15.3068,0.8061,11.47596755,2.983568855,0.041171657,,0.099795657,8.805035228,5.560566643,0,,,,,,0.093934536
Afghanistan,2000,15.7715,15.7715,0.7584,11.86626399,3.097675749,0.049128474,,0.074776474,9.152071519,5.714617104,0,,,,,,0.097251118
Afghanistan,2001,15.9133,15.9133,0.6229,12.09610205,3.129922544,0.064441495,,0.090089495,9.249627014,5.895407054,0,,,,,,0.080990525
Afghanistan,2002,15.9269,15.9269,0.3591,12.32594011,3.162169339,0.079754515,,0.109066515,9.347182509,6.076197004,0,,,,,,0.064729932
Afghanistan,2003,16.4278,16.4278,0.5826,12.55577816,3.194416135,0.095067536,,0.131707536,9.444738004,6.256986954,0,,,,,,0.048469339
Afghanistan,2004,16.8591,16.8591,0.7365,12.78561622,3.22666293,0.110380557,,0.147020557,9.542293499,6.437776904,0,,,,,,0.032208746
Afghanistan,2005,17.415,17.415,1.0149,13.01545428,3.258909725,0.125693578,,0.155005578,9.639848994,6.618566854,0,,,,,,0.015948153
Afghanistan,2006,18.1199,18.1199,1.3374,13.32924906,3.307790625,0.145514034,,0.171162034,9.805568592,6.81508942,0,,,,,,0.016381676
Afghanistan,2007,19.1546,19.1546,1.9896,13.64304385,3.356671524,0.165334491,,0.190982491,9.97128819,7.011611986,0,,,,,,0.0168152
Afghanistan,2008,21.468,21.468,3.9205,13.95683864,3.405552424,0.185154947,,0.203474947,10.13700779,7.208134552,0,,,,,,0.017248723
Afghanistan,2009,24.4483,24.4483,6.5183,14.27063343,3.454433324,0.204975403,,0.219631403,10.30272739,7.404657117,0,,,,,,0.017682246
Afghanistan,2010,26.5382,26.5382,8.2257,14.58442821,3.503314223,0.22479586,,0.24311586,10.46844698,7.601179683,0,,,,,,0.01811577
Afghanistan,2011,25.314,25.314,6.5892,14.91880606,3.555945303,0.250074812,,,10.64904934,7.807114323,0,,,,,,0.018587706
Albania,1990,11.4077,11.5167,6.6237,3.59778003,1.182666216,0.003542118,8.078514606,0.388430118,2.387191352,0.553580288,0.10903,0,0.75,2.76,0.7,3.085539643,0.782974963
Albania,1991,9.1946,9.3036,4.6804,3.386397278,1.124289366,0.003475966,5.89307969,0.315083966,2.42776684,0.558680114,0.10903,0,0.56,2,0.53,2.164365268,0.638714422
Albania,1992,7.0733,7.1849,2.8289,3.175014526,1.065912516,0.003409814,3.917644774,0.113497814,2.468342328,0.56377994,0.1116,0,0.42,1.34,0.4,1.263190893,0.494453881
Albania,1993,6.2834,6.3976,2.3089,2.963631774,1.007535666,0.003343662,3.102209858,0.113431662,2.508917817,0.568879765,0.11417,0,0.56,0.77,0.5,0.922016519,0.35019334
Albania,1994,6.0985,6.2152,2.3938,2.752249021,0.949158817,0.00327751,2.919254942,0.06573351,2.549493305,0.573979591,0.11674,0,0.63,0.69,0.63,0.690842144,0.278412798
Albania,1995,5.3938,5.5131,1.9589,2.540866269,0.890781967,0.003211358,2.111340026,0.113299358,2.590068793,0.579079417,0.11931,0,0.33,0.59,0.62,0.509667769,0.061672257
Albania,1996,5.4168,5.5383,1.9726,2.51563391,0.924802262,0.003792257,2.104085784,0.117544257,2.603613849,0.581576539,0.12144,0,0.27,0.53,0.61,0.642475883,0.051609901
Albania,1997,4.9349,5.0589,1.4813,2.49040155,0.958822558,0.004373156,1.666831542,0.066829156,2.617158904,0.584073661,0.12401,0,0.24,0.33,0.49,0.565283996,0.041547546
Albania,1998,5.1733,5.3,1.7103,2.46516919,0.992842853,0.004954055,1.8995773,0.056418055,2.63070396,0.586570784,0.12672,0,0.22,0.43,0.73,0.48809211,0.03148519
Albania,1999,6.4536,6.5828,2.9813,2.439936831,1.026863148,0.005534954,3.162323057,0.067990954,2.644249015,0.589067906,0.12915,0.11,0.26,0.54,1.39,0.950900223,0.021422834
Albania,2000,6.6196,6.7517,3.1379,2.414704471,1.060883444,0.006115853,3.265068815,0.105211853,2.657794071,0.591565029,0.13207,0.12,0.32,0.52,1.45,0.963708337,0.011360479
Albania,2001,6.5632,7.4347,3.2,2.359771694,0.995420117,0.0079975,3.427236829,0.0191575,2.522189328,0.594605654,0.87149,0.13,0.29,0.59,1.53,1.001185926,0.016050903
Albania,2002,6.9347,7.8147,3.69,2.304838918,0.92995679,0.009879148,3.929404842,0.021039148,2.386584586,0.597646279,0.88002,0.13,0.28,0.5,1.75,1.378663515,0.020741328
Albania,2003,7.2756,8.166,4.1495,2.249906141,0.864493464,0.011760796,4.131572856,0.312376796,2.250979844,0.600686904,0.8904,0.14,0.37,0.57,1.9,1.266141104,0.025431752
Albania,2004,7.4434,8.3413,4.4358,2.194973364,0.799030137,0.013642444,4.41374087,0.310594444,2.115375102,0.603727529,0.8979,0.15,0.29,0.64,2.27,1.183618693,0.030122177
Albania,2005,7.1246,8.0317,4.2355,2.140040588,0.73356681,0.015524091,4.265908883,0.272172091,1.97977036,0.606768155,0.90711,0.17,0.3,0.55,2.35,1.031096282,0.034812601
Albania,2006,7.0147,6.8005,4.1501,2.120193473,0.728068191,0.016291035,4.179069607,0.287595035,1.947977138,0.610054919,-0.21422,0.14,0.27,0.78,1.9,1.192367652,0.036701955
Albania,2007,7.1533,6.9496,4.3133,2.100346359,0.722569572,0.017057979,4.15223033,0.471561979,1.916183916,0.613341684,-0.20376,0.06,0.33,0.73,2.07,0.983639022,0.038591308
Albania,2008,7.0834,6.8734,4.268,2.080499244,0.717070953,0.017824922,4.095391054,0.486984922,1.884390695,0.616628449,-0.20997,0.08,0.28,0.6,2.26,0.914910392,0.040480662
Albania,2009,6.7941,6.5853,4.0033,2.06065213,0.711572335,0.018591866,3.758551778,0.583015866,1.852597473,0.619915214,-0.20877,0.05,0.17,0.58,2.2,0.766181762,0.042370016
Albania,2010,7.1048,6.8977,4.3385,2.040805015,0.706073716,0.019358809,3.981712501,0.67904681,1.820804251,0.623201978,-0.20709,0.05,0.09,0.83,2.21,0.807453132,0.044259369
Albania,2011,6.6421,6.435,3.87,2.042046328,0.709250023,0.020793392,4.178089828,,1.815238551,0.626807972,-0.20709,0.06,0.13,0.87,2.32,0.813442078,0.044647751
Algeria,1990,101.7321,103.1966,69.5996,18.28979005,13.81550153,0.027188265,77.27942592,3.368883697,16.78094829,4.302829944,1.46454,2.45,23.09,7.45,15.65,6.7901002,24.29932572
Algeria,1991,100.2776,101.7421,68.635,18.8631331,12.74138,0.038069415,76.68376899,3.395241361,15.68072809,4.507880081,1.4645,2.14,24.06,7.99,16.71,7.732941297,20.19082769
